DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
659511,0.8634,0.1444,-0.3345,0.3491,-0.0072,-0.0098,0.0810,0
659677,0.8632,0.1448,-0.3345,0.3493,0.0120,-0.0038,0.0890,0
659844,0.8628,0.1453,-0.3346,0.3500,-0.0060,-0.0155,0.0852,0
660011,0.8627,0.1456,-0.3347,0.3501,-0.0018,-0.0212,0.0872,0
660177,0.8624,0.1460,-0.3346,0.3507,-0.0106,-0.0398,0.1051,0
660344,0.8621,0.1464,-0.3346,0.3513,-0.0017,-0.0289,0.0787,0
660511,0.8619,0.1467,-0.3346,0.3516,-0.0070,-0.0234,0.0926,0
660677,0.8619,0.1469,-0.3346,0.3516,-0.0112,-0.0409,0.1000,0
660844,0.8617,0.1472,-0.3347,0.3518,-0.0084,-0.0314,0.0800,0
661011,0.8616,0.1476,-0.3347,0.3520,-0.0170,-0.0406,0.0974,0
661177,0.8614,0.1479,-0.3347,0.3522,-0.0107,-0.0496,0.0851,0
661344,0.8613,0.1482,-0.3347,0.3523,-0.0075,-0.0436,0.1100,0
661511,0.8612,0.1484,-0.3348,0.3524,0.0077,-0.0526,0.0738,0
661677,0.8611,0.1487,-0.3349,0.3525,-0.0260,-0.0655,0.1049,0
661844,0.8610,0.1490,-0.3350,0.3525,-0.0054,-0.0673,0.0854,0
662011,0.8609,0.1492,-0.3350,0.3525,-0.0141,-0.0861,0.0999,0
662177,0.8608,0.1495,-0.3351,0.3528,0.0048,-0.0760,0.0689,0
662344,0.8607,0.1498,-0.3351,0.3528,-0.0130,-0.0588,0.0999,0
662511,0.8606,0.1501,-0.3352,0.3528,0.0120,-0.0644,0.0788,0
662677,0.8605,0.1504,-0.3353,0.3530,-0.0134,-0.0793,0.0880,0
662844,0.8603,0.1507,-0.3353,0.3531,-0.0115,-0.1098,0.0998,0
663011,0.8602,0.1510,-0.3354,0.3531,0.0113,-0.0976,0.0944,0
663178,0.8601,0.1512,-0.3355,0.3532,-0.0256,-0.1167,0.1033,0
663344,0.8600,0.1515,-0.3355,0.3534,-0.0245,-0.0981,0.0895,0
