DeviceTag: Xsens X,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.529,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
39683930,0.5653,0.3053,-0.6059,0.4691,0.0125,-0.0599,0.0590,0
39684096,0.5651,0.3051,-0.6060,0.4694,-0.0584,-0.0715,0.0966,0
39684263,0.5648,0.3056,-0.6055,0.4700,-0.0893,-0.0029,0.1890,0
39684430,0.5648,0.3064,-0.6050,0.4702,-0.1114,0.0629,0.3249,0
39684596,0.5654,0.3067,-0.6047,0.4697,-0.1364,-0.0875,0.2435,0
39684763,0.5659,0.3068,-0.6044,0.4695,-0.0906,-0.1352,0.1361,0
39684930,0.5662,0.3069,-0.6042,0.4693,-0.0657,-0.0743,0.1633,0
39685096,0.5666,0.3068,-0.6039,0.4691,0.0163,0.0369,0.1633,0
39685263,0.5668,0.3068,-0.6038,0.4690,0.0854,0.0389,0.0999,0
39685430,0.5668,0.3069,-0.6039,0.4689,0.0869,-0.0387,0.0977,0
39685596,0.5664,0.3070,-0.6044,0.4687,0.0137,-0.0217,0.1293,0
39685763,0.5660,0.3071,-0.6048,0.4685,-0.0720,-0.0049,0.1552,0
39685930,0.5659,0.3071,-0.6050,0.4684,-0.1426,-0.0390,0.1971,0
39686096,0.5659,0.3071,-0.6050,0.4684,-0.1063,-0.1039,0.1779,0
39686263,0.5657,0.3073,-0.6050,0.4684,-0.0561,-0.0942,0.1568,0
39686430,0.5655,0.3075,-0.6053,0.4682,-0.0945,-0.0664,0.1318,0
39686596,0.5653,0.3077,-0.6055,0.4681,-0.1112,-0.0110,0.1441,0
39686763,0.5651,0.3078,-0.6056,0.4681,-0.1110,0.0117,0.1151,0
39686930,0.5650,0.3080,-0.6056,0.4681,-0.0946,-0.0319,0.0825,0
39687096,0.5650,0.3081,-0.6057,0.4681,-0.0508,-0.0489,0.0711,0
39687263,0.5647,0.3083,-0.6058,0.4680,-0.0800,-0.1124,0.1182,0
39687430,0.5645,0.3084,-0.6060,0.4679,-0.1055,-0.0913,0.1576,0
39687596,0.5643,0.3086,-0.6061,0.4679,-0.1022,-0.0798,0.1590,0
39687763,0.5642,0.3087,-0.6062,0.4679,-0.1191,-0.1668,0.1911,0
39687930,0.5641,0.3088,-0.6062,0.4680,-0.0816,-0.1475,0.1503,0
39688096,0.5638,0.3090,-0.6064,0.4679,-0.0914,-0.1334,0.1071,0
39688263,0.5636,0.3091,-0.6066,0.4678,-0.0943,-0.0688,0.1497,0
39688430,0.5633,0.3093,-0.6067,0.4679,-0.0994,-0.1113,0.1309,0
39688596,0.5631,0.3094,-0.6068,0.4679,-0.1136,-0.1189,0.1260,0
39688763,0.5628,0.3095,-0.6071,0.4678,-0.1529,-0.1126,0.1382,0
39688930,0.5626,0.3097,-0.6073,0.4678,-0.1228,-0.1127,0.1419,0
39689096,0.5624,0.3098,-0.6073,0.4678,-0.1259,-0.1726,0.1486,0
39689263,0.5622,0.3099,-0.6075,0.4678,-0.1069,-0.1488,0.1471,0
39689430,0.5621,0.3099,-0.6076,0.4678,-0.1098,-0.1693,0.1040,0
39689596,0.5620,0.3100,-0.6076,0.4678,-0.0640,-0.1437,0.0984,0
39689763,0.5618,0.3103,-0.6076,0.4679,-0.0585,-0.1813,0.1224,0
39689930,0.5615,0.3105,-0.6078,0.4679,-0.0833,-0.2324,0.2114,0
39690096,0.5611,0.3106,-0.6081,0.4678,-0.1562,-0.2136,0.2110,0
39690263,0.5607,0.3108,-0.6086,0.4676,-0.2400,-0.1496,0.1713,0
39690430,0.5602,0.3109,-0.6090,0.4675,-0.2817,-0.0923,0.1598,0
39690596,0.5600,0.3110,-0.6092,0.4675,-0.2810,-0.0451,0.1665,0
39690763,0.5600,0.3110,-0.6090,0.4677,-0.2161,-0.1241,0.1337,0
39690930,0.5601,0.3110,-0.6088,0.4679,-0.1360,-0.2444,0.0565,0
39691096,0.5600,0.3111,-0.6088,0.4680,-0.0299,-0.2900,0.0828,0
39691263,0.5597,0.3112,-0.6091,0.4679,-0.0581,-0.3254,0.1590,0
39691430,0.5592,0.3113,-0.6095,0.4678,-0.1243,-0.2526,0.1365,0
39691596,0.5587,0.3115,-0.6100,0.4676,-0.2078,-0.1684,0.1761,0
39691763,0.5583,0.3117,-0.6104,0.4676,-0.3201,-0.1978,0.1964,0
39691930,0.5579,0.3118,-0.6107,0.4675,-0.3438,-0.1853,0.2066,0
39692096,0.5577,0.3118,-0.6111,0.4674,-0.2917,-0.1648,0.1871,0
39692263,0.5575,0.3116,-0.6114,0.4671,-0.2413,-0.1589,0.2240,0
39692430,0.5573,0.3115,-0.6118,0.4670,-0.1780,-0.1758,0.2073,0
39692596,0.5571,0.3114,-0.6123,0.4666,-0.1847,-0.2554,0.1346,0
39692763,0.5573,0.3107,-0.6132,0.4657,-0.1214,-0.1526,0.2476,0
39692930,0.5573,0.3099,-0.6144,0.4647,-0.1686,-0.1493,0.3267,0
39693096,0.5572,0.3094,-0.6151,0.4641,-0.2116,-0.1421,0.2183,0
39693263,0.5572,0.3090,-0.6153,0.4641,-0.1880,-0.0681,0.0863,0
39693430,0.5573,0.3088,-0.6151,0.4645,-0.2324,-0.3865,0.0200,0
39693596,0.5573,0.3085,-0.6152,0.4646,-0.1713,-0.4636,0.0156,0
39693763,0.5569,0.3081,-0.6162,0.4639,-0.1465,-0.3054,-0.0596,0
39693930,0.5563,0.3080,-0.6173,0.4632,-0.1964,-0.0612,0.1458,0
39694096,0.5560,0.3081,-0.6176,0.4632,-0.2555,-0.0080,0.1819,0
39694263,0.5559,0.3082,-0.6172,0.4637,-0.2860,-0.1796,0.0925,0
39694430,0.5559,0.3082,-0.6167,0.4643,-0.2693,-0.3509,0.0060,0
39694596,0.5557,0.3081,-0.6169,0.4645,-0.2566,-0.4846,-0.0277,0
39694763,0.5552,0.3080,-0.6177,0.4641,-0.2894,-0.3458,0.0474,0
39694930,0.5549,0.3079,-0.6183,0.4637,-0.3075,-0.1644,0.2439,0
39695096,0.5551,0.3079,-0.6178,0.4640,-0.2006,-0.1134,0.1517,0
39695263,0.5554,0.3081,-0.6172,0.4644,-0.1179,-0.2466,0.0278,0
39695430,0.5550,0.3082,-0.6176,0.4643,-0.1928,-0.4901,0.0719,0
39695596,0.5540,0.3080,-0.6193,0.4633,-0.3874,-0.3518,0.1874,0
39695763,0.5535,0.3073,-0.6209,0.4621,-0.4552,0.0259,0.2600,0
39695930,0.5536,0.3065,-0.6216,0.4617,-0.5507,-0.0907,0.1473,0
39696097,0.5536,0.3058,-0.6227,0.4608,-0.5664,-0.1873,0.0472,0
39696263,0.5532,0.3049,-0.6251,0.4586,-0.6128,0.0385,0.4030,0
39696430,0.5531,0.3040,-0.6265,0.4574,-0.7180,0.0571,0.5075,0
39696597,0.5539,0.3036,-0.6251,0.4586,-0.3939,0.0376,0.4538,0
39696763,0.5555,0.3029,-0.6224,0.4607,0.0934,-0.7641,0.3426,0
39696930,0.5556,0.3021,-0.6221,0.4616,0.6032,-1.5715,-0.1385,0
39697097,0.5538,0.3015,-0.6242,0.4613,0.1506,-0.8450,-0.1063,0
39697263,0.5521,0.3010,-0.6263,0.4607,-0.2661,-0.3668,-0.0470,0
39697430,0.5511,0.3009,-0.6269,0.4613,-0.4199,-0.0991,0.0022,0
39697597,0.5512,0.3010,-0.6259,0.4624,-0.2133,-0.1469,0.2013,0
39697763,0.5516,0.3012,-0.6242,0.4641,-0.0234,-0.6755,0.0498,0
39697930,0.5509,0.3016,-0.6239,0.4651,0.0881,-0.8485,-0.0762,0
39698097,0.5491,0.3016,-0.6256,0.4648,-0.4915,-0.6757,-0.0113,0
39698263,0.5475,0.3011,-0.6284,0.4633,-0.6177,0.0732,0.1173,0
39698430,0.5468,0.3011,-0.6285,0.4640,-0.7653,0.1452,0.4006,0
39698597,0.5478,0.3009,-0.6256,0.4668,-0.5072,-0.4965,0.1009,0
39698763,0.5480,0.3008,-0.6245,0.4682,0.0216,-1.0187,-0.1156,0
