DeviceTag: Xsens XII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.701,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
709979,0.8904,0.1176,-0.3332,0.2870,-0.0202,-0.0093,0.1621,0
710146,0.8902,0.1176,-0.3334,0.2874,-0.0135,-0.0196,0.1576,0
710313,0.8903,0.1172,-0.3335,0.2871,0.0207,0.0076,0.1118,0
710479,0.8902,0.1170,-0.3338,0.2872,-0.0452,-0.0006,0.1441,0
710646,0.8900,0.1171,-0.3339,0.2877,-0.0393,-0.0125,0.1732,0
710813,0.8899,0.1172,-0.3339,0.2880,-0.0094,0.0132,0.1201,0
710979,0.8897,0.1172,-0.3340,0.2882,-0.0368,-0.0054,0.1467,0
711146,0.8896,0.1172,-0.3341,0.2885,-0.0267,-0.0071,0.1379,0
711313,0.8894,0.1172,-0.3343,0.2888,-0.0427,0.0137,0.1319,0
711479,0.8893,0.1173,-0.3344,0.2892,-0.0387,0.0109,0.1569,0
711646,0.8891,0.1173,-0.3346,0.2894,-0.0346,0.0031,0.1097,0
711813,0.8889,0.1174,-0.3347,0.2899,-0.0603,-0.0028,0.1587,0
711979,0.8887,0.1174,-0.3348,0.2903,-0.0488,0.0016,0.1139,0
712146,0.8886,0.1174,-0.3350,0.2904,-0.0414,0.0104,0.1477,0
712313,0.8884,0.1175,-0.3351,0.2908,-0.0696,-0.0011,0.1408,0
712479,0.8882,0.1175,-0.3353,0.2912,-0.0735,0.0078,0.1320,0
712646,0.8881,0.1176,-0.3355,0.2915,-0.0781,0.0032,0.1359,0
712813,0.8879,0.1176,-0.3356,0.2919,-0.0832,-0.0023,0.1385,0
712979,0.8877,0.1177,-0.3358,0.2922,-0.0843,0.0093,0.1405,0
713146,0.8875,0.1177,-0.3359,0.2926,-0.0897,0.0079,0.1505,0
713313,0.8873,0.1178,-0.3361,0.2929,-0.1003,0.0171,0.1404,0
713479,0.8872,0.1178,-0.3363,0.2933,-0.0859,0.0283,0.1193,0
713646,0.8870,0.1179,-0.3364,0.2936,-0.1073,0.0194,0.1273,0
713813,0.8868,0.1179,-0.3366,0.2939,-0.1129,0.0073,0.1697,0
713979,0.8867,0.1179,-0.3368,0.2941,-0.0993,-0.0037,0.1351,0
714146,0.8865,0.1180,-0.3370,0.2945,-0.1244,-0.0111,0.1404,0
714313,0.8863,0.1180,-0.3371,0.2948,-0.1039,0.0055,0.1260,0
714479,0.8861,0.1180,-0.3373,0.2951,-0.1297,-0.0078,0.1605,0
714646,0.8859,0.1181,-0.3374,0.2957,-0.1288,-0.0035,0.1451,0
