DeviceTag: Xsens XIII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.707,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
14430496,0.3978,0.7195,-0.1815,0.5396,-0.0293,-0.0163,0.0014,0
14430663,0.3976,0.7197,-0.1813,0.5395,-0.0519,-0.0753,0.0133,0
14430830,0.3982,0.7198,-0.1809,0.5391,-0.0323,-0.0792,0.0167,0
14430996,0.3989,0.7197,-0.1805,0.5388,-0.0450,-0.0388,0.0251,0
14431163,0.3995,0.7196,-0.1803,0.5385,-0.0406,-0.0494,0.0066,0
14431330,0.3999,0.7196,-0.1801,0.5382,-0.0341,-0.0100,-0.0544,0
14431496,0.4001,0.7197,-0.1800,0.5380,-0.0505,0.0130,-0.0253,0
14431663,0.4001,0.7199,-0.1800,0.5378,-0.0452,0.0023,-0.0577,0
14431830,0.4001,0.7200,-0.1800,0.5376,-0.0423,0.0009,-0.0434,0
14431996,0.4000,0.7202,-0.1799,0.5376,-0.0370,-0.0229,-0.0282,0
14432163,0.4000,0.7202,-0.1802,0.5374,-0.0008,-0.0409,-0.0163,0
14432330,0.4001,0.7202,-0.1804,0.5373,-0.0168,-0.0326,-0.0039,0
14432496,0.4003,0.7202,-0.1808,0.5371,0.0207,-0.0588,0.0148,0
14432663,0.4003,0.7202,-0.1809,0.5370,0.0176,-0.0564,-0.0012,0
14432830,0.4002,0.7202,-0.1809,0.5371,0.0002,-0.0281,-0.0120,0
14432996,0.4002,0.7202,-0.1811,0.5370,-0.0203,-0.0309,-0.0170,0
14433163,0.4002,0.7202,-0.1813,0.5369,-0.0277,-0.0396,-0.0139,0
14433330,0.4002,0.7202,-0.1815,0.5369,-0.0219,-0.0728,-0.0086,0
14433496,0.4003,0.7201,-0.1818,0.5368,-0.0360,-0.0873,-0.0159,0
14433663,0.4004,0.7200,-0.1821,0.5368,-0.0102,-0.0487,-0.0106,0
14433830,0.4005,0.7199,-0.1824,0.5367,0.0431,-0.0314,-0.0128,0
14433996,0.4005,0.7199,-0.1825,0.5366,0.0285,-0.0906,-0.0279,0
